Given example
18 19
64 21
0 1
32 80
59 53
27 87
24 38
17 10
40 13
36 22
22 79
17 12
88 31
43 55
16 6
8 19
24 4
40 34
52 77
74 31
42 11
10 7
20 85
76 69
88 54
80 75
84 71
65 28
53 70
62 7
25 86
82 61
67 45
57 52
3 15
32 63
29 79

jin random 34
vfile
66
63 0
22 0
44 2
14 1
38 0
12 0
35 0
0 1
47 1
27 0
1 1
32 0
39 2
51 0
33 2
8 2
61 0
59 2
19 2
16 2
64 0
24 0
46 2
37 1
42 0
6 1
49 1
20 0
23 1
25 1
50 0
62 2
57 2
48 2
53 1
28 1
9 1
55 2
13 0
31 1
5 1
45 0
30 2
21 2
7 0
54 1
18 1
15 2
60 2
58 2
41 2
40 0
3 0
11 0
10 0
52 0
43 2
34 2
17 0
65 2
29 2
2 1
4 2
56 0
36 2
26 2

efile
65
18 15
37 46
33 51
40 41
2 29
56 36
28 53
64 24
50 62
13 31
18 54
58 60
0 47
10 11
1 27
8 61
65 17
25 23
42 37
51 39
48 53
40 3
57 62
5 31
34 43
0 35
32 39
42 6
13 55
2 4
59 61
65 29
11 3
56 4
10 52
8 33
9 55
26 36
22 63
43 52
49 20
41 58
38 14
44 22
27 47
19 59
54 7
32 1
21 7
60 15
49 6
20 23
21 30
48 57
12 38
44 14
35 12
9 28
45 5
16 19
24 46
17 34
25 50
45 30
16 64

jin random 35
vfile
48
11 2
44 1
14 2
32 2
16 0
21 2
45 0
25 2
7 2
40 1
2 2
27 2
23 1
18 2
30 1
37 2
5 1
20 2
4 2
15 0
26 1
36 1
6 2
19 2
12 1
39 1
38 1
9 2
1 0
3 2
8 0
46 2
43 2
24 2
41 2
33 2
31 1
47 1
10 1
35 2
34 1
29 1
13 0
28 2
17 0
42 0
0 1
22 1

efile
47
33 31
0 22
16 21
43 46
27 23
11 44
47 31
34 29
25 7
18 23
34 35
40 2
32 14
10 35
17 42
40 7
1 3
5 37
24 41
0 42
26 36
28 13
8 3
19 6
17 28
2 27
38 39
9 38
26 15
20 4
45 21
37 30
32 16
12 39
9 1
10 47
41 33
4 15
19 12
24 43
44 14
36 6
8 46
25 45
20 5
13 29
18 30

jin random 36
vfile
78
23 2
11 0
52 1
77 1
7 2
58 1
48 2
53 2
71 2
5 1
6 0
26 1
51 1
0 1
70 2
2 0
28 0
18 1
56 0
14 0
4 0
72 2
13 1
30 2
24 0
9 1
3 2
36 2
47 1
50 2
63 1
75 0
37 2
21 2
10 2
67 2
69 1
8 2
42 1
32 2
57 2
60 2
33 2
15 0
22 1
43 1
46 1
49 1
40 0
16 2
66 1
65 0
76 0
38 2
68 0
17 1
73 2
39 0
41 2
34 1
64 2
35 2
59 0
54 1
45 0
12 2
25 1
27 1
31 2
74 0
20 2
55 0
61 1
44 1
29 1
1 1
19 1
62 2

efile
77
18 28
53 71
17 68
24 30
56 18
44 61
26 6
2 70
32 42
1 19
50 63
19 62
24 9
26 51
10 67
11 23
67 69
8 69
72 13
10 21
49 46
20 55
3 36
59 54
11 52
76 38
77 7
58 7
44 29
2 28
36 47
65 76
27 31
75 37
65 66
45 54
16 66
74 20
73 17
61 55
68 38
0 51
43 22
9 3
40 16
43 46
33 15
73 39
41 34
48 53
22 15
59 35
40 49
41 39
32 57
4 14
64 35
33 60
25 27
1 29
12 45
0 70
75 63
13 30
52 77
74 31
57 60
5 6
56 14
50 47
8 42
48 58
25 12
72 4
64 34
21 37
5 71

jin random 37
vfile
88
41 1
2 0
24 0
84 2
44 1
73 1
23 0
52 1
5 0
3 1
19 1
14 2
13 0
70 0
46 0
38 0
60 2
20 0
43 0
17 1
26 2
75 2
77 0
33 1
22 0
40 2
69 2
78 0
76 0
65 2
57 0
32 1
30 1
81 2
61 0
8 1
55 1
74 2
54 1
4 2
9 2
64 1
80 2
59 0
21 0
12 0
53 0
0 0
31 0
36 0
6 2
29 2
28 0
35 1
34 2
11 1
71 1
85 0
48 0
67 0
47 0
66 1
15 1
18 0
56 0
83 2
50 1
62 1
25 1
1 1
72 1
58 1
45 1
42 0
27 2
63 1
68 1
37 0
39 2
82 2
86 2
16 0
7 0
51 1
87 2
79 1
10 1
49 1

efile
87
19 14
12 21
68 63
51 7
32 30
67 47
46 70
56 18
38 46
82 39
76 78
72 58
68 37
48 67
50 83
12 53
37 39
40 69
36 31
24 2
13 70
17 43
59 21
66 47
29 6
66 15
16 7
81 30
35 28
26 75
3 5
4 54
65 76
73 23
79 87
58 45
19 3
16 86
8 55
33 22
34 35
64 80
0 53
74 55
82 86
72 1
64 9
34 11
74 54
33 77
8 61
49 10
27 63
52 23
80 59
42 45
32 57
13 14
42 27
81 61
11 71
75 77
0 31
36 6
18 15
24 84
40 22
17 26
9 4
50 62
10 79
25 1
69 78
84 44
41 2
43 20
25 62
48 85
52 5
65 57
85 71
60 20
60 38
28 29
51 87
73 44
56 83

jin random 38
vfile
66
8 0
42 2
12 0
49 1
24 2
40 1
5 1
11 0
51 1
14 2
10 1
6 0
23 1
56 1
33 1
65 0
41 0
62 0
64 2
63 0
60 2
7 1
46 2
18 1
3 0
58 1
15 0
43 0
54 0
30 2
32 1
38 0
57 0
2 2
47 1
36 1
35 2
22 2
9 1
37 0
19 1
25 0
55 2
16 2
4 0
0 0
34 2
26 1
52 2
17 1
27 1
44 2
50 0
29 0
59 1
61 0
21 1
45 0
48 1
1 2
28 1
53 0
13 1
20 0
31 1
39 1

efile
65
1 28
64 62
43 54
41 62
25 55
24 49
40 5
32 30
16 4
17 52
28 53
56 33
42 12
43 15
59 29
57 38
48 1
9 22
11 5
51 14
50 29
9 37
58 15
0 4
64 63
60 63
35 36
25 19
8 42
16 55
26 52
57 2
18 3
17 27
59 61
39 31
51 11
65 33
36 47
6 23
34 26
60 7
54 30
13 53
48 45
18 46
24 40
56 23
2 47
19 37
45 21
46 7
20 13
10 6
27 44
35 22
21 61
10 14
32 38
65 41
58 3
49 12
50 44
20 31
0 34

jin random 39
vfile
64
15 1
31 0
1 0
46 0
30 2
7 2
32 0
44 0
10 0
33 0
36 2
55 2
59 1
43 2
47 0
22 2
16 0
18 1
52 2
41 2
29 0
3 0
42 2
14 2
57 0
34 2
48 1
9 1
40 1
28 2
54 2
37 1
6 1
17 0
49 1
19 1
8 1
45 0
13 1
25 2
20 1
53 0
51 0
60 0
0 1
27 0
11 0
38 2
5 1
21 0
24 0
23 0
61 1
50 0
35 2
62 0
12 1
2 2
4 0
63 0
26 1
58 1
56 0
39 0

efile
63
41 52
20 53
43 47
18 52
36 55
32 44
57 34
25 13
59 55
8 45
43 59
32 7
8 19
3 29
17 6
13 45
11 27
26 58
26 63
37 6
50 61
16 22
61 23
51 53
2 4
56 39
11 38
28 54
0 60
33 10
49 19
37 54
24 23
12 62
30 7
25 20
4 63
50 35
31 15
42 3
10 44
48 9
16 18
17 49
33 36
1 46
22 47
40 28
56 58
35 62
57 14
42 14
51 60
21 5
5 38
1 31
46 30
0 27
48 34
2 12
41 29
40 9
24 21

jin random 40
vfile
65
18 0
25 2
36 0
56 2
37 2
20 2
49 1
54 1
17 2
13 1
11 0
12 0
61 2
15 0
5 0
10 2
35 1
55 2
8 0
52 0
41 1
27 1
39 0
57 0
19 1
31 1
45 2
32 2
40 2
48 1
46 0
28 1
59 2
29 2
24 0
2 0
60 2
63 0
42 2
30 0
44 2
3 1
21 0
43 1
14 0
50 1
58 1
26 2
7 0
64 1
1 1
62 2
16 1
23 1
38 2
22 0
53 2
51 1
34 0
33 0
9 1
6 1
47 2
4 0
0 1

efile
64
41 52
3 21
56 36
11 12
50 58
16 62
19 31
38 23
25 18
17 54
32 45
59 29
57 19
58 26
9 6
6 47
8 52
48 46
42 63
0 4
12 61
10 35
27 39
60 63
51 53
32 40
43 21
2 60
11 13
53 22
28 46
25 36
49 20
61 15
5 15
44 30
64 7
34 51
20 37
26 7
45 31
10 5
24 29
33 34
17 13
50 14
1 62
41 27
59 28
57 39
43 14
16 23
42 30
38 22
3 44
49 54
56 37
8 55
35 55
40 48
64 1
33 9
4 47
24 2

jin random 41
vfile
14
4 1
3 0
7 0
12 1
9 0
0 2
11 2
13 0
6 1
10 0
2 0
5 0
8 1
1 2

efile
13
3 4
12 7
11 13
10 2
3 7
10 6
2 5
13 6
8 1
0 11
8 5
9 12
0 9

jin random 42
vfile
18
17 2
9 2
10 2
14 1
4 1
7 1
13 2
1 1
15 1
0 0
6 2
3 2
12 0
11 1
8 2
2 2
5 1
16 0

efile
17
8 2
8 11
0 6
9 10
13 7
1 15
11 12
3 6
2 5
10 14
0 15
3 12
16 5
4 14
17 9
1 13
4 7

jin random 43
vfile
66
61 1
14 0
17 0
44 0
49 2
52 1
22 1
60 1
27 1
40 1
18 0
42 0
55 1
3 0
28 1
12 1
33 2
5 2
32 2
62 1
35 0
2 0
30 2
15 1
7 0
34 2
36 0
19 2
29 2
41 1
63 0
50 1
57 0
24 1
59 1
11 1
10 1
48 1
43 0
8 1
13 1
65 1
6 2
56 2
0 1
37 0
25 0
53 2
9 2
64 2
23 2
45 1
51 1
20 1
39 2
16 1
26 0
38 1
31 0
21 2
46 1
1 2
4 1
47 2
54 1
58 1

efile
65
61 14
28 12
2 30
48 43
1 4
30 15
45 23
64 9
38 31
52 22
42 55
65 13
25 53
20 39
54 47
65 6
0 37
41 63
10 11
17 44
16 26
11 59
21 46
57 50
58 54
21 31
3 55
9 53
19 36
49 52
51 45
26 38
50 63
17 14
18 42
16 39
27 60
40 18
33 5
25 37
2 35
24 57
19 29
24 59
49 44
8 13
1 46
56 0
32 5
35 62
33 12
34 36
56 6
3 28
32 62
48 10
51 20
8 43
34 7
40 27
41 29
60 22
4 47
7 15
64 23

jin random 44
vfile
38
1 0
10 1
2 0
24 0
32 2
13 1
29 1
30 2
16 2
31 1
14 1
12 0
7 2
36 2
25 0
6 0
8 0
15 2
33 0
22 2
5 1
18 0
20 1
3 0
35 0
11 2
27 0
26 2
37 2
4 0
23 2
0 1
17 1
21 2
9 1
19 2
28 2
34 2

efile
37
34 28
33 15
0 17
17 21
1 10
9 21
19 28
29 30
27 11
36 7
26 37
8 15
18 20
24 32
14 31
25 36
16 31
32 13
5 22
35 3
8 6
18 5
26 27
4 37
12 7
3 20
10 2
12 14
11 35
25 6
0 23
4 23
16 30
33 22
29 13
9 19
24 2

jin random 45
vfile
61
15 2
35 2
58 2
24 0
50 2
7 1
20 0
59 0
10 2
36 0
55 0
51 2
12 2
14 0
60 2
30 2
56 2
45 0
8 0
25 0
11 1
37 1
26 1
28 0
38 2
42 1
31 0
3 2
49 0
54 0
4 1
44 0
53 0
52 2
22 0
32 1
46 0
2 0
19 1
29 1
6 0
5 2
9 0
48 2
33 2
39 2
18 2
57 0
16 1
34 0
27 2
40 2
0 2
23 0
21 1
47 0
1 0
43 1
13 2
41 2
17 1

efile
60
52 53
56 30
35 15
36 55
58 35
21 23
52 22
3 31
8 45
42 31
32 22
29 6
25 11
9 5
42 38
16 34
56 45
2 46
41 17
8 25
20 7
26 37
5 6
41 13
4 54
4 44
28 38
50 7
18 39
57 18
24 58
49 3
59 20
10 36
44 53
2 19
40 0
1 43
19 29
51 55
48 9
21 47
51 12
24 50
1 47
60 14
12 14
32 46
0 23
10 59
60 30
26 28
49 54
16 57
34 27
40 27
43 13
33 39
11 37
48 33

jin random 46
vfile
31
21 0
11 2
23 1
3 2
2 1
29 2
8 1
16 0
26 1
10 1
22 2
6 1
7 0
4 1
30 1
17 1
28 0
0 2
24 0
20 0
14 1
19 2
5 2
1 0
18 1
13 2
27 0
25 0
15 2
9 2
12 1

efile
30
25 15
2 3
2 29
10 22
19 14
20 14
16 26
24 20
27 13
11 21
9 12
9 15
4 7
3 23
6 7
1 18
8 29
17 28
1 5
11 23
0 28
8 16
18 13
0 24
26 10
22 6
4 30
25 27
19 5
17 30

jin random 47
vfile
58
53 2
43 1
41 0
30 1
46 1
57 0
2 1
14 2
45 0
40 2
4 1
20 1
24 0
17 2
15 2
22 0
16 2
35 2
51 1
36 1
54 0
56 0
31 1
28 0
25 1
44 1
8 0
5 1
47 2
12 0
38 1
48 1
33 0
1 2
10 1
26 0
50 0
23 0
32 1
49 0
21 2
0 0
9 0
13 2
29 1
37 0
42 2
55 1
19 2
3 0
6 0
27 2
52 0
11 2
18 2
34 0
7 2
39 1

efile
57
25 28
43 53
33 1
16 35
40 4
0 21
42 55
51 36
32 23
1 10
29 13
27 52
41 43
37 29
9 13
42 37
24 20
16 22
32 49
22 15
39 7
26 50
17 15
8 5
48 38
57 2
50 23
12 47
45 14
18 34
3 6
36 54
25 44
27 6
2 14
56 54
3 19
5 47
4 20
49 21
56 31
0 9
28 31
10 26
8 44
24 17
18 11
40 45
12 38
34 7
46 30
19 55
11 52
41 30
57 46
48 33
51 35

jin random 48
vfile
67
5 0
18 0
31 1
4 1
16 0
48 2
59 0
63 1
58 0
14 0
2 1
53 1
46 0
47 1
0 0
43 0
3 0
61 2
19 2
26 2
25 0
15 1
10 0
65 0
9 0
12 0
35 1
51 2
54 0
13 2
24 1
11 1
7 2
62 2
20 2
17 2
39 1
30 1
57 2
56 1
27 0
22 1
60 2
32 0
21 1
28 1
33 1
66 1
64 0
44 0
50 1
1 1
45 2
8 1
42 0
37 0
41 1
52 1
49 2
36 1
29 0
34 2
38 0
55 2
40 1
23 2
6 0

efile
66
24 11
41 52
25 15
10 15
40 55
4 31
16 4
13 54
33 66
8 45
33 28
56 27
58 63
0 47
50 44
46 47
34 29
38 55
42 37
60 22
64 44
1 45
59 63
3 43
27 22
3 61
8 42
49 52
36 29
9 12
41 37
17 39
28 21
0 43
49 36
58 14
51 54
16 48
64 66
1 50
6 23
48 59
56 57
20 62
2 14
18 5
53 46
65 10
62 7
57 30
11 7
2 53
34 38
25 26
32 60
65 9
35 12
19 61
30 39
18 31
40 23
32 21
24 13
17 20
26 19
51 35

jin random 49
vfile
3
1 2
2 0
0 1

efile
2
0 2
1 2

jin random 50
vfile
92
57 2
64 1
66 0
49 1
74 2
62 0
60 1
80 1
78 2
68 2
85 2
65 2
44 2
77 2
63 1
28 2
22 2
53 0
20 0
43 0
48 2
90 2
18 1
40 2
41 2
56 1
51 1
8 0
6 0
1 1
76 2
88 0
54 1
31 2
52 2
4 2
10 1
39 1
21 1
86 0
58 2
42 2
5 2
71 2
19 2
17 1
32 0
81 1
72 1
82 0
30 1
70 0
37 1
89 2
69 0
91 0
36 1
75 0
50 0
26 0
23 2
38 2
79 1
61 1
59 0
47 1
29 0
9 2
0 0
14 1
67 1
35 1
46 1
34 0
84 1
33 2
2 0
16 1
55 1
27 1
25 0
87 0
11 0
13 0
24 2
45 1
73 1
12 1
15 2
3 0
83 1
7 0

efile
91
34 46
73 45
40 41
10 39
89 37
64 57
54 31
72 82
59 47
73 12
27 55
50 26
59 61
25 87
64 66
65 85
21 39
52 4
32 17
0 9
17 19
21 86
10 4
48 43
9 29
60 62
37 70
56 51
82 30
74 62
50 75
26 23
16 2
49 66
16 55
1 6
1 76
29 47
68 78
49 74
35 67
58 86
38 79
52 31
33 2
24 13
91 36
83 7
80 60
20 53
34 84
28 22
19 71
65 44
90 18
8 51
61 79
53 22
28 63
40 18
44 77
75 36
8 6
70 30
56 41
88 76
83 3
72 81
25 27
77 63
11 87
68 85
35 46
0 14
33 84
38 23
58 42
24 45
48 90
43 20
42 5
88 54
32 81
11 13
80 78
91 69
3 15
12 15
67 14
89 69
5 71

jin random 51
vfile
95
18 1
22 1
2 1
16 1
48 0
70 1
23 2
20 0
45 1
62 1
52 1
7 2
36 0
90 2
81 2
89 0
57 0
61 2
39 0
41 0
92 1
4 2
29 2
72 2
34 0
44 1
77 0
53 2
68 2
27 1
30 2
25 1
43 2
46 2
74 2
91 0
31 1
66 2
69 2
60 2
50 0
35 2
54 0
55 0
49 2
93 0
12 0
82 0
75 1
87 0
85 1
84 1
17 2
26 1
56 2
19 1
8 0
33 0
47 1
76 0
59 0
63 1
80 0
78 1
64 0
65 2
28 0
24 2
3 2
5 0
38 0
94 0
32 1
79 2
11 1
13 0
73 1
9 0
1 0
42 1
71 0
88 2
15 1
21 0
6 1
67 1
58 0
51 0
86 0
40 0
83 2
0 2
37 0
14 0
10 1

efile
94
27 30
18 22
0 37
74 91
58 67
12 93
64 65
53 77
52 7
76 47
56 19
82 12
8 33
94 38
9 1
88 71
61 39
21 15
27 68
37 14
72 34
64 78
49 93
49 55
56 26
40 83
80 63
21 6
4 29
91 31
17 84
16 2
92 4
59 63
3 5
52 62
1 42
89 57
68 53
25 43
85 87
24 28
67 6
34 44
73 13
50 60
43 46
75 87
36 7
41 92
40 86
32 79
73 9
41 39
50 35
44 77
84 85
11 79
33 47
89 81
42 71
5 38
32 94
66 69
48 70
60 69
20 23
20 45
51 86
74 46
0 83
54 55
17 26
57 61
8 19
45 62
90 36
59 76
25 30
58 51
11 13
81 90
16 48
82 75
65 28
80 78
24 3
66 31
35 54
88 15
72 29
70 23
2 22
10 14

jin random 52
vfile
92
39 0
6 0
34 2
71 1
73 0
68 1
27 2
20 0
78 2
21 0
17 0
47 0
30 1
51 0
24 1
49 1
69 2
86 0
77 1
38 0
62 0
76 1
14 0
19 1
25 2
61 0
26 2
32 1
44 1
43 2
53 0
87 2
18 0
36 0
12 0
56 1
60 0
72 2
64 0
84 0
89 1
11 2
5 1
48 2
41 2
46 0
83 0
74 1
65 2
28 1
37 1
16 0
80 1
59 0
58 0
7 0
52 1
88 1
45 0
70 0
90 1
23 0
22 0
31 2
57 1
29 2
4 0
15 2
81 1
85 0
66 1
42 2
91 1
55 2
63 2
13 1
40 0
0 2
8 2
75 0
67 1
1 2
33 2
2 1
50 0
3 1
9 2
54 0
82 0
10 0
35 2
79 1

efile
91
19 14
1 33
34 71
58 59
51 30
17 47
76 14
22 23
88 52
56 60
35 79
52 7
16 37
73 68
32 26
77 38
66 42
27 68
62 38
57 31
56 12
1 67
81 15
43 53
32 44
58 7
77 86
11 5
4 29
65 74
89 84
69 86
26 61
30 47
48 41
66 85
13 63
36 12
72 64
4 15
33 2
2 50
89 11
9 3
88 45
24 49
24 51
82 10
57 29
49 69
8 75
9 54
80 59
91 55
42 91
72 60
82 54
63 55
40 0
74 83
90 70
27 20
40 13
43 44
81 85
28 37
67 75
16 80
17 21
18 36
41 46
22 31
10 35
25 19
20 78
34 6
83 46
64 84
6 39
65 28
90 23
25 61
50 3
0 8
73 71
48 5
21 78
45 70
76 62
18 87
53 87

jin random 53
vfile
13
5 0
4 2
0 2
7 2
10 0
6 2
3 1
2 1
8 1
12 0
1 2
11 1
9 2

efile
12
8 2
2 3
10 7
4 5
1 11
10 6
3 6
0 4
1 12
9 11
0 7
8 12

jin random 54
vfile
77
50 1
40 1
47 0
9 0
76 2
7 1
58 1
34 2
15 1
35 2
4 1
70 0
10 0
57 1
54 0
12 0
45 0
68 0
1 0
24 2
41 2
22 2
74 0
13 2
46 1
39 1
17 0
5 0
55 2
30 0
71 2
37 1
64 1
38 1
49 1
69 1
31 1
72 1
36 1
52 2
43 2
19 1
61 1
66 0
48 0
62 2
11 2
51 2
23 0
27 0
8 1
32 0
73 2
63 1
25 2
0 2
42 1
60 1
28 2
59 1
67 0
33 1
53 1
6 0
26 1
20 1
44 1
16 1
3 2
75 2
56 2
2 0
18 0
29 1
65 2
14 1
21 1

efile
76
66 61
65 14
12 54
33 53
57 54
35 15
17 5
30 71
8 27
67 59
48 62
30 55
37 71
25 63
5 55
42 60
27 23
40 50
58 7
49 69
72 36
56 2
58 34
74 13
16 44
4 70
8 32
26 6
75 3
9 47
41 22
60 28
48 66
76 7
24 1
32 73
57 10
19 43
65 29
51 23
21 14
17 39
24 41
49 38
64 38
36 52
0 42
51 11
72 31
33 67
1 68
46 39
43 52
0 25
35 4
13 46
10 70
34 15
74 22
68 45
59 28
2 18
73 63
69 31
64 37
26 20
19 61
18 29
53 6
56 75
12 45
9 76
20 44
11 62
16 3
40 47

jin random 55
vfile
80
58 1
69 2
23 1
3 1
55 1
76 2
24 2
22 1
34 0
54 2
13 0
42 1
49 2
78 2
75 0
16 2
21 1
62 2
57 1
44 2
52 1
48 1
6 0
27 0
28 1
66 2
74 0
35 2
30 1
71 2
63 1
20 2
65 1
37 2
68 1
46 2
33 2
5 2
60 2
72 2
10 0
70 0
1 1
77 0
12 1
79 1
19 2
4 1
18 2
51 2
29 1
26 2
45 2
73 1
61 2
11 1
41 0
15 2
9 1
36 2
31 0
50 0
7 1
25 1
39 1
43 0
53 0
47 0
38 2
8 1
14 2
0 2
40 0
67 1
2 0
17 0
32 2
59 1
64 1
56 1

efile
79
73 45
1 70
40 67
24 22
25 7
3 55
35 30
9 15
3 23
33 5
68 37
76 55
44 52
32 17
53 47
36 31
1 77
33 46
18 4
9 36
25 39
43 53
66 74
34 54
41 11
57 62
42 13
32 59
19 79
12 79
51 29
48 6
38 47
48 52
8 38
20 63
57 44
50 31
11 61
65 37
13 54
16 21
64 59
21 62
41 15
17 2
2 67
27 28
72 10
34 22
26 29
75 78
63 71
72 60
0 40
58 69
27 6
26 45
43 39
19 4
0 14
8 14
30 71
68 46
49 78
24 76
65 20
66 28
50 7
16 75
49 42
73 61
64 56
69 23
10 70
12 77
74 35
18 51
60 5

jin random 56
vfile
3
2 0
1 1
0 2

efile
2
0 1
1 2

jin random 57
vfile
24
3 1
5 2
9 2
4 0
21 0
19 0
10 0
20 2
12 1
18 1
1 1
11 1
8 0
13 0
0 0
22 1
14 0
7 0
23 1
17 0
6 0
15 1
16 2
2 0

efile
23
6 15
0 22
14 7
9 4
23 7
9 5
17 6
0 13
16 2
16 15
3 5
10 19
22 14
10 20
4 21
19 21
1 18
18 12
8 13
20 12
8 11
1 11
17 23

jin random 58
vfile
78
14 1
65 0
37 1
67 2
56 2
19 2
42 0
0 2
13 0
64 0
23 2
45 2
20 1
60 1
9 1
62 2
22 0
33 1
52 2
28 0
70 0
38 1
3 1
6 2
11 0
41 1
39 1
26 0
31 1
16 1
49 1
12 1
53 0
10 2
15 0
47 1
35 2
72 0
58 2
55 0
8 1
74 0
43 0
40 2
66 2
17 1
71 0
24 0
51 2
30 0
44 1
54 0
36 0
46 0
25 2
69 2
27 2
18 2
2 0
5 2
61 1
76 0
21 2
75 1
32 1
68 2
29 1
73 1
34 0
59 2
48 1
57 1
4 0
7 2
63 2
77 0
1 2
50 2

efile
77
67 37
9 62
51 30
73 34
0 13
56 19
4 7
40 43
72 58
73 29
44 54
61 5
12 53
18 2
63 7
48 57
2 5
26 39
1 77
75 21
16 49
65 14
25 46
57 4
25 69
41 11
34 59
58 55
32 75
33 52
32 68
47 15
24 71
8 55
33 22
64 23
72 35
3 38
65 37
9 60
74 43
24 51
52 28
26 31
18 27
38 70
68 29
64 13
17 71
0 42
41 39
1 50
3 6
16 31
56 67
77 63
76 21
20 45
10 15
45 23
36 46
10 53
27 69
11 6
8 74
40 66
76 61
28 70
44 30
36 54
48 59
20 60
42 19
17 66
62 22
35 47
49 12

jin random 59
vfile
71
39 2
64 2
63 2
50 0
27 1
56 0
9 2
20 2
51 2
68 1
30 0
34 2
28 0
70 2
10 2
38 1
22 0
25 1
31 0
33 1
0 1
41 0
62 0
67 0
53 0
11 2
18 0
49 2
21 0
12 1
60 2
16 1
48 2
36 0
19 0
24 2
1 1
44 1
69 1
32 2
2 1
57 2
17 1
37 1
14 1
59 1
43 1
15 1
4 2
66 0
7 0
61 2
3 0
23 2
35 1
5 1
47 0
65 0
54 1
46 1
42 0
29 2
52 1
40 1
8 1
55 0
58 1
13 1
26 1
45 2
6 1

efile
70
1 44
33 31
57 17
25 22
41 62
12 21
9 20
48 36
65 54
26 13
34 28
35 23
65 47
67 62
17 37
66 7
56 27
16 60
43 59
43 15
24 19
42 29
49 18
46 54
52 29
42 46
19 36
64 63
32 69
24 1
3 61
0 33
58 55
58 13
50 63
57 2
66 4
50 27
3 23
68 30
28 70
16 48
34 30
67 53
51 68
40 52
10 70
44 69
32 2
49 21
5 47
61 7
45 6
12 60
11 53
40 8
64 39
26 45
10 38
18 11
59 14
56 9
0 41
51 20
38 22
4 15
35 5
37 14
25 31
8 55

jin random 60
vfile
45
9 2
37 1
42 0
43 1
20 0
32 2
29 0
21 0
35 2
1 2
40 1
17 0
12 2
8 0
26 2
4 0
2 2
41 1
31 2
36 2
16 0
5 0
15 1
23 0
3 2
33 0
7 2
24 1
0 2
14 1
10 2
6 2
28 0
38 1
39 1
22 2
44 2
30 1
34 2
25 1
27 0
19 0
18 1
13 0
11 0

efile
44
19 27
21 29
17 12
24 7
40 17
16 5
42 43
42 37
41 2
43 20
8 26
9 37
23 15
1 35
2 4
32 20
18 19
33 7
22 39
28 38
8 12
11 13
3 23
25 34
40 1
34 30
5 15
44 30
41 31
44 22
38 39
18 13
33 3
24 0
35 21
28 6
10 6
25 27
10 14
36 31
16 36
0 14
32 29
26 4

jin random 61
vfile
18
3 0
14 0
11 0
0 1
2 1
12 2
1 1
6 1
17 1
10 2
8 2
7 0
4 2
13 2
16 1
9 1
15 1
5 0

efile
17
17 10
16 9
4 13
0 2
5 15
2 12
3 14
1 12
8 10
8 7
0 11
16 13
1 6
9 15
11 14
17 6
4 7

jin random 62
vfile
69
64 1
53 2
61 2
59 1
49 1
39 1
15 1
9 2
58 2
42 1
3 1
38 2
19 1
44 1
67 0
46 0
63 1
40 0
30 1
4 1
10 0
51 2
37 0
17 1
33 1
52 2
2 0
48 1
45 1
5 1
7 0
26 2
34 0
8 0
29 2
50 2
6 1
27 0
11 0
55 0
22 1
47 0
13 2
12 1
24 2
28 0
65 2
21 1
62 1
41 2
57 2
23 1
16 0
25 1
18 1
14 2
56 0
32 1
35 0
60 1
43 1
0 0
1 0
20 0
66 0
36 1
31 1
54 1
68 2

efile
68
10 4
40 63
66 36
3 38
41 62
13 47
67 46
49 39
43 60
58 42
17 37
56 32
21 62
68 54
25 18
65 21
11 27
18 14
32 35
54 31
50 29
66 20
15 39
56 14
59 61
24 12
9 15
50 6
11 55
35 60
0 43
9 58
1 20
22 55
49 59
8 34
0 1
26 34
65 28
67 44
42 3
19 38
46 63
33 52
26 7
8 29
27 6
48 2
16 25
48 45
61 53
22 47
5 7
40 30
4 30
19 44
51 37
16 23
24 28
64 53
5 45
17 33
2 52
36 31
10 51
12 13
57 23
41 57

jin random 63
vfile
67
30 0
43 2
46 2
63 0
47 1
57 2
59 0
26 1
44 2
13 0
19 2
2 2
29 2
23 1
37 0
14 2
52 1
58 1
12 2
62 0
45 2
61 2
6 0
34 2
41 2
53 1
51 2
55 1
42 0
64 0
22 1
33 1
49 2
20 0
15 2
21 1
28 2
48 1
4 1
17 1
40 2
27 2
16 0
9 2
5 2
8 2
0 1
11 0
3 0
39 1
50 0
24 0
32 0
54 1
18 2
1 2
7 2
35 2
25 0
66 2
56 0
36 1
38 1
31 1
60 2
65 1
10 2

efile
66
58 52
56 36
2 29
57 47
32 54
38 31
43 46
42 55
40 17
26 44
64 42
0 11
61 6
45 62
18 54
9 5
41 53
41 34
47 63
25 66
1 7
44 13
26 59
65 60
58 12
57 59
51 53
25 35
48 28
33 49
17 4
8 5
3 11
37 23
28 21
12 62
16 9
34 6
24 32
35 7
29 23
49 20
2 19
46 63
1 18
56 66
48 4
43 30
51 55
20 15
61 45
65 10
50 39
8 0
16 27
64 22
24 50
36 38
3 39
21 15
37 14
40 27
19 13
33 22
52 14
60 31

jin random 64
vfile
22
18 1
0 1
19 1
10 1
8 0
17 2
3 2
21 1
12 0
11 1
5 0
14 0
2 0
6 1
15 2
13 2
16 0
20 0
9 0
4 2
1 0
7 1

efile
21
6 15
1 4
3 21
11 12
2 6
12 21
9 20
9 4
17 3
11 5
1 7
0 19
